subject,idna_subject,expiration_date,epoch
500girls.com,500girls.com,05-jul-2021,1625443200.0
55chan.org,55chan.org,18-may-2021,1621296000.0
5kporn.com,5kporn.com,19-dec-2021,1639872000.0
5kteens.com,5kteens.com,24-aug-2021,1629763200.0
60milfs.com,60milfs.com,06-aug-2021,1628208000.0
64kporn.com,64kporn.com,26-oct-2021,1635206400.0
69-sexgames.com,69-sexgames.com,07-oct-2022,1665100800.0
69games.xxx,69games.xxx,06-dec-2022,1670284800.0
69teensex.com,69teensex.com,11-sep-2021,1631318400.0
69teentube.com,69teentube.com,11-sep-2021,1631318400.0
6kea.com,6kea.com,25-oct-2021,1635120000.0
6mature9.com,6mature9.com,30-nov-2021,1638230400.0
6momporn.com,6momporn.com,29-may-2021,1622246400.0
6orc.com,6orc.com,16-jan-2022,1642291200.0
7-7-7-partner.com,7-7-7-partner.com,31-aug-2021,1630368000.0
777livecams.com,777livecams.com,16-feb-2021,1613433600.0
7chan.org,7chan.org,25-sep-2021,1632528000.0
7mmtv.tv,7mmtv.tv,08-jan-2023,1673136000.0
85porn.net,85porn.net,01-nov-2021,1635724800.0
85tube.com,85tube.com,16-aug-2021,1629072000.0
85tube.net,85tube.net,05-jun-2021,1622851200.0
88gals.com,88gals.com,15-aug-2021,1628985600.0
8kpornmovies.com,8kpornmovies.com,24-jul-2021,1627084800.0
8ksexmovie.com,8ksexmovie.com,27-aug-2021,1630022400.0
8kun.top,8kun.top,15-nov-2022,1668470400.0
8muses.com,8muses.com,26-mar-2021,1616716800.0
8muses.download,8muses.download,02-nov-2022,1667347200.0
8muses.io,8muses.io,01-mar-2021,1614556800.0
8teenxxx.com,8teenxxx.com,29-mar-2021,1616976000.0
91jav.com,91jav.com,17-oct-2021,1634428800.0
99cams.com,99cams.com,06-aug-2021,1628208000.0
9hentai.com,9hentai.com,27-jul-2021,1627344000.0
22pixx.xyz,22pixx.xyz,13-jun-2021,1623542400.0
aaliyahlove.com,aaliyahlove.com,15-may-2021,1621036800.0
